"ID","NAME","CATEGORY","UNIT","PRICE","DESC"
3652, TINTA ACR DIATEX PINTA MAIS CINZA BD 15L IQUINE,10,BD,165.14,""
610,"ABRACADEIRA NYLON 150X2,50MM PTA DECORLUX",1,UN,0.18,""
3729,"ABRAÇAD  NYLON PTA 2,5X140 WURTH 1UND",1,UN,0.20,""
2349,ABRAÇAD AÇO CARB 1X11/2 (25X38) PROGERAL,1,UN,4.00,""
2517,ABRAÇAD AÇO CARB 20/40W FLOU T10/12 RED,1,UN,2.50,""
2348,ABRAÇAD AÇO CARB 5/8X3/4 (13X19) MR PROGERAL,1,UN,2.50,""
1059,ABRAÇAD AÇO CARB 5/8X3/4 16X19 RSF INCA,1,UN,2.50,""
2752,ABRAÇAD AÇO MANG 9MM 89A108 PRESOL PRESIL PAB SUPRENS,18,UN,9.50,""
3178,"ABRAÇAD AÇO TIPO U 1"" ZC INCA ",18,UN,1.50,""
2007,"ABRAÇAD AÇO TIPO U 1/2"" ZC INCA ",18,UN,1.00,""
2399,"ABRAÇAD AÇO TIPO U 11/2""  ZC INCA",1,UN,2.04,""
2008,"ABRAÇAD AÇO TIPO U 11/4"" ZC INCA ",18,UN,2.00,""
258,"ABRAÇAD AÇO TIPO U 2"" ZC INCA",1,UN,3.15,""
3592,"ABRAÇAD AÇO TIPO U 3"" ZC INCA ",18,UN,3.00,""
208,ABRAÇAD AÇO TIPO U 3/4 ZINC INCA,1,UN,1.50,""
403,ABRAÇAD AÇO/CB 1X11/2 25X38 RSF INCA,4,UN,4.09,""
3913,"ABRAÇAD BORBOLETA ZNB 16X27X0,7MM WURTH ",18,UN,3.50,""
3168,ABRAÇAD MANG 9MM 10X16 MR PROGERAL,18,UN,2.50,""
3171,ABRAÇAD MANG 9MM 13X19 MICRO CARB SUPRENS,18,UN,2.75,""
4016,ABRAÇAD MANG 9MM 44 A 57 AR PROGERAL,18,UN,4.65,""
3119,ABRAÇAD MANG AÇO 9MM 76X89MM PROGERAL,18,UN,5.00,""
4810,"ABRAÇAD NYLON 150X2,5MM PTA FERTAK",1,UN,0.15,""
4806,"ABRAÇAD NYLON 200X4,8MM BCA FERTAK",1,UN,0.40,""
4809,"ABRAÇAD NYLON 250X7,6 BCA 1319 FERTAK",1,UN,0.80,""
4814,"ABRAÇAD NYLON 280X4,8MM PTA FERTAK",1,UN,0.65,""
219,"ABRAÇAD NYLON 380MMX4,8MM FOXLUX",1,UN,0.80,""
4815,"ABRAÇAD NYLON 4,8X380 PTA 1310 FERTAK",1,UN,0.85,""
4813,"ABRAÇAD NYLON 450X4,8MM PTA FERTAK",1,UN,0.90,""
4816,"ABRAÇAD NYLON 500X4,8MM BCA FERTAK",1,UN,1.10,""
3014,"ABRAÇAD NYLON 6.6 BCA 4,8X200 WURTH 1UN",1,UN,0.55,""
3378,"ABRAÇAD NYLON 6.6 BCA W-MAX 2,5X140 WURTH",1,UN,0.20,""
